Row,z_1,z_2
bnd_pnt_1,-3.37925434957733,-2.50956525375016
bnd_pnt_2,-2.7822715555881,-2.45445183214625
bnd_pnt_3,-2.58764076340372,-2.16669690959499
bnd_pnt_4,-2.19451777158523,-2.09800988338865
bnd_pnt_5,-1.98108574927653,-1.815746727302
bnd_pnt_6,-1.94518999895608,-1.45872371398043
bnd_pnt_7,-2.12413149479606,-1.09757297097516
bnd_pnt_8,-1.2697447682433,-0.852245791991598
bnd_pnt_9,-1.42581436235646,-0.482508503098696
bnd_pnt_10,-0.661131214218952,0.540023372688544
bnd_pnt_11,-0.0447702529257975,0.578809216937437
bnd_pnt_12,0.265177439571118,1.09657984733599
bnd_pnt_13,0.457913015270925,1.23061356362085
bnd_pnt_14,0.632519232902461,1.57812045914913
bnd_pnt_15,1.11776229584348,1.52375458850549
bnd_pnt_16,1.72578471564321,2.12759396764751
bnd_pnt_17,1.56896861522576,2.32490088503929
bnd_pnt_18,1.92350656992832,2.34914164237648
bnd_pnt_19,1.82855279415509,1.96142302850956
bnd_pnt_20,1.89427603845113,1.71694498467567
bnd_pnt_21,1.70559893859102,1.33048395271941
bnd_pnt_22,1.66974317579133,0.9411783333417
bnd_pnt_23,1.25887497716899,0.536505582246822
bnd_pnt_24,0.967941612567576,0.10486250696373
bnd_pnt_25,1.59498474801861,-0.386181310217089
bnd_pnt_26,2.45395383904206,-0.450477094962546
bnd_pnt_27,3.03059662187563,-0.955729094503693
bnd_pnt_28,2.99803839191487,-1.024882178569
bnd_pnt_29,2.18164401805055,-1.33004707761861
bnd_pnt_30,1.63961729206494,-2.16316624480863
bnd_pnt_31,0.140147135516568,-2.42337700851801
bnd_pnt_32,-0.532485741137204,-2.42274921129738
bnd_pnt_33,-0.880646810452992,-2.90205740446495
bnd_pnt_34,-1.92142514549423,-3.10502315362895
bnd_pnt_35,-2.11916738096472,-3.7229763778103
bnd_pnt_36,-2.85351251871478,-3.51182059563992
bnd_pnt_37,-2.80584648545576,-2.77866104279772
bnd_pnt_38,-3.26547939421976,-2.62789009797287
