Row,z_1,z_2
bnd_pnt_1,-2.85351251871478,-3.51182059563992
bnd_pnt_2,-2.56933126005435,-3.09919099258821
bnd_pnt_3,-2.34494591636537,-2.15490520703252
bnd_pnt_4,-1.98108574927653,-1.815746727302
bnd_pnt_5,-1.94518999895608,-1.45872371398043
bnd_pnt_6,-2.12413149479606,-1.09757297097516
bnd_pnt_7,-1.42581436235646,-0.482508503098696
bnd_pnt_8,-0.661131214218952,0.540023372688544
bnd_pnt_9,-0.0447702529257975,0.578809216937437
bnd_pnt_10,0.265177439571118,1.09657984733599
bnd_pnt_11,0.550411528327634,1.38484042136566
bnd_pnt_12,1.07843846744891,2.39360118898875
bnd_pnt_13,1.92350656992832,2.34914164237648
bnd_pnt_14,1.82855279415509,1.96142302850956
bnd_pnt_15,1.89427603845113,1.71694498467567
bnd_pnt_16,1.70559893859102,1.33048395271941
bnd_pnt_17,1.66974317579133,0.9411783333417
bnd_pnt_18,1.25887497716899,0.536505582246822
bnd_pnt_19,1.59498474801861,-0.386181310217089
bnd_pnt_20,2.45395383904206,-0.450477094962546
bnd_pnt_21,3.03059662187563,-0.955729094503693
bnd_pnt_22,2.99803839191487,-1.024882178569
bnd_pnt_23,2.18164401805055,-1.33004707761861
bnd_pnt_24,1.63961729206494,-2.16316624480863
bnd_pnt_25,0.140147135516568,-2.42337700851801
bnd_pnt_26,-0.0364697525899806,-2.37400480908613
bnd_pnt_27,-0.880646810452992,-2.90205740446495
bnd_pnt_28,-1.49519990836568,-3.05278939506033
bnd_pnt_29,-2.11916738096472,-3.7229763778103
