Row,z_1,z_2
bnd_pnt_1,-1.59707564266222,-1.81896851372994
bnd_pnt_2,-1.30896418150071,-1.72944604304635
bnd_pnt_3,-0.818852599324326,-1.76929141317364
bnd_pnt_4,-0.0364697525899806,-2.37400480908613
bnd_pnt_5,0.140147135516568,-2.42337700851801
bnd_pnt_6,-0.735027309822021,-2.76610575631916
bnd_pnt_7,-1.13287476794864,-2.51898722867019
bnd_pnt_8,NaN,NaN
bnd_pnt_9,-0.582360106056481,-0.0680078457149936
bnd_pnt_10,-0.142127424694898,0.143341650059094
bnd_pnt_11,-0.10821816134312,0.286869646487047
bnd_pnt_12,0.283875672463574,0.279818726043539
bnd_pnt_13,0.32723519278189,-0.0375011201171536
bnd_pnt_14,0.967941612567576,0.10486250696373
bnd_pnt_15,1.0598574207159,-0.268060758698259
bnd_pnt_16,1.59498474801861,-0.386181310217089
bnd_pnt_17,0.935447934519365,-0.547775288437924
bnd_pnt_18,0.795781385443392,-0.977420427672878
bnd_pnt_19,0.383932194301289,-1.01874820041847
bnd_pnt_20,0.512620612395471,-1.61516676700567
bnd_pnt_21,0.857575871799247,-2.24936115952538
bnd_pnt_22,0.15428502026769,-1.83974282473766
bnd_pnt_23,-0.163915455376098,-1.8578092609623
bnd_pnt_24,-0.128823388131558,-1.56717151557635
bnd_pnt_25,0.112621188763187,-1.0022983904162
bnd_pnt_26,-0.160727388420835,-0.869819518042881
bnd_pnt_27,-0.389595724695696,-0.544852080348856
bnd_pnt_28,NaN,NaN
bnd_pnt_29,1.7746719255952,-0.998585009911986
bnd_pnt_30,1.59498474801861,-0.386181310217089
bnd_pnt_31,2.45395383904206,-0.450477094962546
bnd_pnt_32,2.41180739723166,-0.654499808231734
bnd_pnt_33,2.11700571960629,-0.844347744968233
bnd_pnt_34,2.18164401805055,-1.33004707761861
bnd_pnt_35,1.63961729206494,-2.16316624480863
bnd_pnt_36,1.46973416264013,-1.80371720324893
bnd_pnt_37,1.04177486896566,-1.2921213935371
bnd_pnt_38,1.58114000177088,-1.20530469676837
