Row,avg_density_ai_upper,b_l2_norm,c_fro_norm_upper,largest_block_fraction,m,n_blocks,n_total_matrix,nnz_c_upper,num_sdp_blocks
arch0.dat-s,-0.749555383535859,0.856327914275783,-0.965636980829939,-0.96752272502186,-0.177884462849803,0.676059492110203,0.598972620603296,-0.151552633204173,-0.772027234150276
arch2.dat-s,-0.741350169571402,0.86884708205758,-0.745725372630905,-0.96752272502186,-0.177884462849803,0.676059492110203,0.598972620603296,-0.151552633204173,-0.772027234150276
arch4.dat-s,-0.741350169571402,0.905648866728853,-0.745725372630905,-0.96752272502186,-0.177884462849803,0.676059492110203,0.598972620603296,-0.151552633204173,-0.772027234150276
arch8.dat-s,-0.741350169571402,1.04694334655348,-0.965636980829939,-0.96752272502186,-0.177884462849803,0.676059492110203,0.598972620603296,-0.151552633204173,-0.772027234150276
control1.dat-s,1.73113200668615,-1.14701487174621,-1.30562102314349,-0.552727611604115,-1.34607447580467,0.676059492110203,-1.67117030111027,-1.29475299580211,0.826329023191089
control10.dat-s,0.497540881827037,-1.14701487174621,-0.687978345953415,-0.552727611604115,1.2419011008157,0.676059492110203,0.0573991350859183,-0.618680724393304,0.826329023191089
control11.dat-s,0.419304873609763,-1.14701487174621,-0.661776781671834,-0.552727611604115,1.39337337805803,0.676059492110203,0.119422092471927,-0.587470751356196,0.826329023191089
control2.dat-s,1.59377755847553,-1.14701487174621,-1.12275884224495,-0.552727611604115,-0.734131449814684,0.676059492110203,-0.986452578089613,-1.10616828359689,0.826329023191089
control3.dat-s,1.41645356782166,-1.14701487174621,-1.01457686715096,-0.552727611604115,-0.325032379252976,0.676059492110203,-0.709011860835956,-0.99011236871785,0.826329023191089
control4.dat-s,1.23807359231773,-1.14701487174621,-0.937271693959391,-0.552727611604115,-0.00292110479433551,0.676059492110203,-0.524201157326872,-0.905087498451787,0.826329023191089
control5.dat-s,1.07378985016907,-1.14701487174621,-0.876993430887765,-0.552727611604115,0.267738869172989,0.676059492110203,-0.383290802858805,-0.837560126828105,0.826329023191089
control6.dat-s,0.927436828143432,-1.14701487174621,-0.827536777983425,-0.552727611604115,0.503560359648635,0.676059492110203,-0.268441866178892,-0.78134144177666,0.826329023191089
control7.dat-s,0.798561241834521,-1.14701487174621,-0.785576877324539,-0.552727611604115,0.713895160337462,0.676059492110203,-0.171001586357736,-0.733063402276031,0.826329023191089
control8.dat-s,0.685329955600184,-1.14701487174621,-0.749121897155869,-0.552727611604115,0.904613085971778,0.676059492110203,-0.0860788648749487,-0.690682620761756,0.826329023191089
control9.dat-s,0.585644784520186,-1.14701487174621,-0.716883136161629,-0.552727611604115,1.07967590401877,0.676059492110203,-0.0106241386174107,-0.652862835833576,0.826329023191089
equalG11.dat-s,-0.752915531628561,0.920307089008526,1.70944373252972,0.852117443621858,0.850246909725667,-0.855382930969088,1.24884465443387,0.841575816090765,-0.772027234150276
equalG51.dat-s,-0.765050806442921,0.985913890055828,1.70944373252972,0.852117443621858,1.01986912914741,-0.855382930969088,1.42778511683786,1.4173984591742,-0.772027234150276
gpp100.dat-s,-0.3595767830208,0.298589442265211,-0.257028745099209,0.852117443621858,-0.4971228886447,-0.855382930969088,-0.201898752879285,0.0906980558320975,-0.772027234150276
gpp124-1.dat-s,-0.441160926044913,0.363778734391483,-0.54889575097634,0.852117443621858,-0.374407537968154,-0.855382930969088,-0.0651297596628445,-0.0365563872510588,-0.772027234150276
gpp124-2.dat-s,-0.441160926044913,0.363778734391483,-0.205978356517207,0.852117443621858,-0.374407537968154,-0.855382930969088,-0.0651297596628445,0.168529032467058,-0.772027234150276
gpp124-3.dat-s,-0.441160926044913,0.363778734391483,0.142418785633143,0.852117443621858,-0.374407537968154,-0.855382930969088,-0.0651297596628445,0.381325843026508,-0.772027234150276
gpp124-4.dat-s,-0.441160926044913,0.363778734391483,0.534840464524652,0.852117443621858,-0.374407537968154,-0.855382930969088,-0.0651297596628445,0.65225298236643,-0.772027234150276
gpp250-1.dat-s,-0.622299457671118,0.574861325838299,-0.316813870346066,0.852117443621858,0.0495890767325321,-0.855382930969088,0.396345845221889,0.264683642592667,-0.772027234150276
gpp250-2.dat-s,-0.622299457671118,0.574861325838299,-0.0325748308178864,0.852117443621858,0.0495890767325321,-0.855382930969088,0.396345845221889,0.442382644324933,-0.772027234150276
gpp250-3.dat-s,-0.622299457671118,0.574861325838299,0.356400404343683,0.852117443621858,0.0495890767325321,-0.855382930969088,0.396345845221889,0.694287207871574,-0.772027234150276
